집계일자,영업소코드,영업소명,입출구구분코드,입출구명,TCS하이패스구분코드,TCS하이패스명,고속도로운영기관구분코드,고속도로운영기관명,영업형태구분코드,영업형태명,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
"20210701","109 ","계룡","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",297,36,83,57,16,2,491
"20210701","109 ","계룡","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",2043,153,119,112,152,115,2694
"20210701","109 ","계룡","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",384,33,95,57,21,47,637
"20210701","109 ","계룡","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",2207,168,115,121,140,106,2857
"20210701","505 ","고창","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",214,9,21,11,5,2,262
"20210701","505 ","고창","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1341,34,52,58,70,35,1590
"20210701","505 ","고창","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",263,4,32,18,8,17,342
"20210701","505 ","고창","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1257,46,62,51,63,41,1520
"20210701","258 ","광천","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",287,24,74,59,18,3,465
"20210701","258 ","광천","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1836,99,108,118,447,55,2663
"20210701","258 ","광천","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",370,25,58,63,28,27,571
"20210701","258 ","광천","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1718,78,90,104,401,46,2437
"20210701","227 ","군산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",673,13,50,71,52,4,863
"20210701","227 ","군산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",3098,88,163,128,357,77,3911
"20210701","227 ","군산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",668,12,83,68,35,53,919
"20210701","227 ","군산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",3077,87,173,129,302,66,3834
"20210701","200 ","금산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",375,15,12,12,8,7,429
"20210701","200 ","금산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",2244,51,90,42,148,91,2666
"20210701","200 ","금산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",438,17,19,27,17,36,554
"20210701","200 ","금산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",2324,40,85,40,126,103,2718
"20210701","161 ","금산사","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",119,8,7,6,25,3,168
"20210701","161 ","금산사","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",463,22,14,19,16,10,544
"20210701","161 ","금산사","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",130,9,13,8,20,10,190
"20210701","161 ","금산사","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",495,27,19,18,28,15,602
"20210701","160 ","김제","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",282,18,48,53,49,3,453
"20210701","160 ","김제","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1842,131,107,176,131,39,2426
"20210701","160 ","김제","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",338,21,98,32,55,28,572
"20210701","160 ","김제","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1796,123,123,131,137,47,2357
"20210701","114 ","남대전","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",1155,49,178,124,20,18,1544
"20210701","114 ","남대전","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",6279,270,259,566,225,304,7903
"20210701","114 ","남대전","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",964,48,164,117,32,105,1430
"20210701","114 ","남대전","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",5690,235,239,478,192,303,7137
"20210701","530 ","내장산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",168,6,22,13,2,0,211
"20210701","530 ","내장산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",1100,86,64,60,71,19,1400
"20210701","530 ","내장산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",217,7,41,24,8,8,305
"20210701","530 ","내장산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",1149,65,61,71,66,24,1436
"20210701","155 ","논산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",630,40,177,119,29,6,1001
"20210701","155 ","논산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",3553,213,262,298,315,103,4744
"20210701","155 ","논산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",711,36,172,114,43,75,1151
"20210701","155 ","논산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",3589,214,254,285,331,127,4800
"20210701","259 ","대천","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",573,25,35,31,10,1,675
"20210701","259 ","대천","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",2576,74,109,42,147,86,3034
"20210701","259 ","대천","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",636,22,41,24,5,50,778
"20210701","259 ","대천","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",2644,80,101,48,156,83,3112
"20210701","168 ","덕유산","0","입구","1","TCS","00","한국도로공사","0","폐쇄식",122,6,4,21,0,1,154
"20210701","168 ","덕유산","0","입구","2","hi-pass","00","한국도로공사","0","폐쇄식",739,17,7,8,18,21,810
"20210701","168 ","덕유산","1","출구","1","TCS","00","한국도로공사","0","폐쇄식",150,6,5,12,2,19,194
"20210701","168 ","덕유산","1","출구","2","hi-pass","00","한국도로공사","0","폐쇄식",768,20,6,9,18,16,837
