명칭,주소,전화번호,입고량,재고량,위도,경도,데이터기준일
현풍(마산방향),대구 달성군 현풍읍 성하길 48,053-614-2437,"1,500","1,700",35.7016358,128.4349783,2021-11-17 12:00
언양(서울방향),울산 울주군 언양읍 경부고속도로 44,052-263-6146,"2,500","2,300",35.5978465,129.1421835,2021-11-17 12:00
울주(울산방향),울산 울주군 삼동면 보은리 산213-15,052-977-2243,"5,660","4,690",35.5106073,129.1305235,2021-11-17 12:00
울주(함양방향),울산 울주군 삼동면 보은리 산192-3,052-977-3243,"4,330","4,360",35.5132649,129.1281896,2021-11-17 12:00
구리(일산방향),경기도 구리시 수도권 제1순환도로 32,031-555-0740,"3,000","1,884",37.62800602,127.1391937,2021-11-17 12:00
안성(서울방향),경기도 안성시 원곡면 경부고속도로 372,031-664-4096,"4,000","2,250",37.0767838,127.1324553,2021-11-17 12:00
이천(통영방향),경기도 이천시 마장면 중부대로609번길 244-35,031-637-0401,500,238,37.2646262,127.4036945,2021-11-17 12:00
평택(제천방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8087,"10,500","9,000",37.04493678,126.9468531,2021-11-17 12:00
평택(평택방향),경기도 평택시 청북읍 평택제천고속도로 6,070-4172-8085,"9,500","7,400",37.04521081,126.9436774,2021-11-17 12:00
화성(목포방향),경기도 화성시 팔탄면 서해안고속도로 301,031-353-8015,"2,700","1,850",37.1436086,126.8791024,2021-11-17 12:00
안성맞춤(제천방향),경기도 안성시 서운면 평택제천고속도로 40,031-674-4406,0,84,36.9681181,127.2742996,2021-11-17 12:00
옥산(부산방향),충북 청주시 흥덕구 옥산면 경부고속도로 309,043-269-0843,0,102,36.657693,127.3698264,2021-11-17 12:00
옥천(서울방향),충북 옥천군 옥천읍 옥천동이로 242-34,043-733-9924,0,100,36.297908,127.5991233,2021-11-17 12:00
옥천만남의광장,충북 옥천군 옥천읍 중앙로 137,043-732-0081,"21,000","24,041",36.3094413,127.5712202,2021-11-17 12:00
죽암(서울방향),충북 청주시 서원구 현도면 경부고속도로 290,043-260-5341,0,139,36.4968521,127.4308815,2021-11-17 12:00
황간(부산방향),충북 영동군 황간면 회포길 102,043-742-5853,0,91,36.2489955,127.8526686,2021-11-17 12:00
황간(서울방향),충북 영동군 황간면 회포1길 65 ,043-742-1266,0,834,36.2503541,127.8543174,2021-11-17 12:00
괴산(마산방향),충북 괴산군 장연면 중부내륙고속도로 205,043-832-7970,"2,000","1,950",36.8314205,127.9578515,2021-11-17 12:00
